	#cpu	Reference subject	Unnamed: 0	Unnamed: 0.1	Unnamed: 0.1.1	cpu_type	h:m:s	io_in	io_out	max_pss	max_rss	max_uss	max_vms	mean_load	n_sim	rule	s	threads
0	1	subset_a				xeond	0:00:02	0.0	0.55	144.78	150.25	143.61	3681.16	69.44	3	sort_picard	2.8371	1
0	1	subset				xeond	0:10:23	1.66	0.73	1398.81	1409.14	1391.44	6822.28	106.0	3	realigner	623.4438	1
0	1					xeond	0:00:00	0.66	0.0	17.08	21.7	14.18	169.02	0.0	3	rule_all	0.0168	1
0	1	subset_b				xeond	0:10:13	0.0	0.59	1409.93	1419.89	1402.61	6822.28	101.83	3	realigner	613.5466	1
0	1	subset				xeond	0:00:03	1.06	2.14	166.21	172.43	165.1	3681.16	56.96	3	sort_picard	3.2125	1
0	1					xeond	0:02:53	0.75	794.37	2.45	6.77	1.53	43.69	4.59	3	downloadreference	173.6536	1
0	1	subset_b				xeond	0:00:05	0.0	0.01	5185.56	5188.91	5184.79	5356.97	54.05	3	mapping	5.8478	1
0	1					xeond	0:00:36	0.11	0.01	20.73	27.22	17.44	111.43	37.52	3	index_samtools	36.7312	1
0	1	subset_b				xeond	0:00:02	0.0	0.04	54.79	60.6	53.65	3673.97	0.0	3	build_bam	2.5279	1
0	1					xeond	1:06:19	0.04	6655.8	4441.83	4445.24	4441.17	4465.5	97.56	3	index_bwa	3979.1502	1
0	1	subset_a				xeond	0:00:03	0.0	1.05	452.53	457.92	451.36	3683.18	133.98	3	mark_duplicates	3.2783	1
0	1	subset_a				xeond	0:09:31	0.0	0.57	1413.74	1424.02	1406.41	6822.28	104.07	3	realigner	571.5064	1
0	1	subset_a				xeond	0:00:06	2.96	0.01	5186.05	5189.48	5185.24	5420.97	52.92	3	mapping	6.7827	1
0	1					xeond	0:00:19	0.0	0.04	847.31	853.22	846.14	3683.17	80.77	3	index_picard	19.5039	1
0	1	subset_b				xeond	0:00:03	0.0	0.06	406.36	412.49	405.16	3681.18	63.46	3	mark_duplicates	3.189	1
